N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,REGISTRANT NAME,STREET,CITY,STATE,ZIP,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,EXPIRATION DATE
189KZ,28-1990190                    ,2630450,30010,1982,NGUYEN MARK C                                     ,888 AIRPORT RD                   ,PITTSBURGH        ,PA,29555     ,1,129,US,19850413,19820823,1N        ,4,1 ,V ,50052127, ,        ,20281018
18GB ,L2418-36                      ,2080083,17027,1975,JONES GEORGE L                                    ,6892 SKYWAY CT                   ,ALBANY            ,NY,74251     ,1,159,US,19920204,19760407,1U        ,4,1 ,V ,50014117, ,19901229,20270111
18SQ ,17214917                      ,1750201,17003,2011,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,158,US,20130822,20111023,1U        ,4,1 ,V ,50061026, ,20201022,20290211
1900A,28-1978787                    ,2630154,17027,1988,NELSON DANIEL B                                   ,8504 MAIN ST                     ,DALLAS            ,TX,91609     ,2,156,US,19990306,19890915,1N        ,4,1 ,V ,50120412, ,20110628,20260525
1905M,A5816-89                      ,2080125,17027,1964,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,057,US,19901013,19661114,1U        ,4,1 ,V ,50121535, ,19890305,20310926
190VM,28-1994940                    ,2630073,30010,2005,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,072,US,20160714,20070523,1U        ,4,1 ,V ,50025222, ,20150308,20271103
19137,28002                         ,1531089,52001,1985,AMERICAN AIRLINES INC                             ,7836 HANGAR LN                   ,DALLAS-FORT WORTH ,TX,69871     ,2,039,US,20210114,19870928,1T        ,5,5 ,V ,50077537, ,19900717,20310422
1913T,4899                          ,2740182,60515,1978,STATE OF ALASKA                                   ,6346 AVIATION WAY                ,ANCHORAGE         ,AK,96991     ,A,033,US,20110917,19811217,1N        ,6,3 ,V ,50110201, ,20170424,20261129
1917S,17249235                      ,1751373,41545,2015,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,040,US,20171014,20150908,1N        ,5,5 ,V ,50007235, ,20190628,20290716
19214,11202                         ,1200742,67000,2001,AMERICAN AIRLINES INC                             ,7836 HANGAR LN                   ,DALLAS-FORT WORTH ,TX,69871     ,2,002,US,20041208,20020628,1T        ,5,5 ,V ,50103402, ,20200506,20270903
1921Y,17239713                      ,1751213,00410,2003,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,162,US,20200303,20061225,1T        ,5,5 ,V ,50040552, ,20100613,20270404
1924X,17242011                      ,1750529,30010,1985,TURNER MICHAEL E                                  ,3798 AVIATION WAY                ,COLUMBUS          ,OH,30028     ,3,099,US,20100421,19870320,1A        ,4,1 ,V ,50011314, ,19881121,20280819
1925L,H7457-61                      ,1310748,17003,2005,TORRES WILLIAM S                                  ,1351 TAXIWAY DR                  ,FAIRBANKS         ,AK,12540     ,A,195,US,20110819,20050731,1U        ,4,1 ,V ,50073044, ,        ,20310714
192KN,17226010                      ,1750434,17003,1993,MOORE MICHAEL S                                   ,5431 RIDGE RD                    ,LINCOLN           ,NE,71069     ,C,152,US,20130131,19930421,1U        ,4,1 ,V ,50072676, ,20160802,20310328
19321,K8228-22                      ,1420164,60515,1976,STATE OF ALASKA                                   ,6346 AVIATION WAY                ,ANCHORAGE         ,AK,96991     ,A,057,US,20240219,19770313,1N        ,6,3 ,V ,50035202, ,20241202,20270103
1940U,17248570                      ,1751373,41545,1971,TEXTRON AVIATION INC                              ,5754 MAIN ST                     ,WICHITA           ,KS,82340     ,C,082,US,20180624,19721226,1N        ,5,5 ,V ,50114715, ,20180909,20281122
19483,28-2021735                    ,2630073,17027,2018,JOHNSON MICHAEL S                                 ,7574 AIRPORT RD                  ,CLEVELAND         ,OH,16590     ,3,082,US,20210518,20190111,1N        ,4,1 ,V ,50045561, ,20220602,20260612
1966X,4555                          ,2740182,17050,1972,BLUE RIDGE HELICOPTERS LLC                        ,5372 SKYWAY CT                   ,SAVANNAH          ,GA,34727     ,S,077,US,20230716,19731231,1N        ,6,1 ,V ,50045771, ,19880621,20310614
197NE,6108                          ,1860047,17003,1990,HILL MARK H                                       ,7810 CESSNA BLVD                 ,SACRAMENTO        ,CA,74332     ,7,054,US,20150208,19931109,1N        ,4,1 ,V ,50024644, ,20060331,20261130
198KM,17233253                      ,1751373,52040,2000,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,167,US,20230502,20030812,1N        ,5,5 ,V ,50023542,Y,20110325,20281029
198ZB,28-1972952                    ,2630956,17041,    ,HILL MARK H                                       ,7810 CESSNA BLVD                 ,SACRAMENTO        ,CA,74332     ,7,115,US,19810925,19711117,1N        ,5,1 ,V ,50117163, ,20180513,20261007
1995E,D8974-81                      ,2190084,41060,1983,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,095,US,19981001,19860815,1T        ,5,5 ,V ,50115231, ,19970517,20300623
199VV,7174                          ,1200602,52001,1994,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,184,US,19941113,19940325,1T        ,5,5 ,V ,50107476, ,20190216,20290425
19FV ,27290                         ,1530196,52001,1974,ATLAS AIR INC                                     ,4477 SKYWAY CT                   ,NEW YORK          ,NY,10336     ,1,081,US,20150806,19760115,1T        ,5,5 ,V ,50071216, ,20201229,20300729
19GK ,A3580-82                      ,2410192,30010,2018,WALKER DONALD M                                   ,                                 ,MADISON           ,WI,55056     ,3,069,US,20201018,20191124,1N        ,4,1 ,V ,50073002, ,20200615,20310411
19RL ,28-1980438                    ,2630769,30062,1988,WALKER EDWARD S                                   ,9326 LAKEVIEW DR                 ,HOUSTON           ,TX,17894     ,2,092,US,20100103,19891215,1U        ,4,1 ,V ,50004515, ,        ,20260726
19SX ,17222326                      ,1750201,30010,1999,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,196,US,20210618,20010416,1U        ,4,1 ,V ,50044646, ,20031201,20261022
19YH ,B5597-37                      ,1310425,41538,1991,HIGH PLAINS CROP DUSTING INC                      ,815 MAIN ST                      ,BILLINGS          ,MT,71993     ,5,184,US,20240301,19940928,1T        ,5,2 ,V ,50045665, ,20091111,20260730
2001Y,17213527                      ,1750529,17027,1988,CLARK PAUL H                                      ,9346 LAKEVIEW DR                 ,MILWAUKEE         ,WI,97580     ,3,192,US,20031125,19900430,1N        ,4,1 ,V ,50060217, ,20161226,20310514
2002Z,17266736                      ,1750767,41538,2002,PINNACLE ENERGY PARTNERS LLC                      ,9003 AVIATION WAY                ,HOUSTON           ,TX,69682     ,2,195,US,20210425,20040925,1T        ,4,2 ,V ,50054437, ,20050301,20300129
2003F,F2160-76                      ,1640118,00410,1995,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,087,US,20080415,19980402,1N        ,5,5 ,V ,50047135, ,20220404,20290513
2009Y,4352                          ,1860047,30010,2016,NELSON JAMES A                                    ,9707 LAKEVIEW DR                 ,NEW YORK          ,NY,96900     ,1,171,US,20230307,20170422,1N        ,4,1 ,V ,50115755, ,20240105,20270623
200NY,28-1974212                    ,2630594,30062,1994,TORRES SUSAN A                                    ,5335 AIRPORT RD                  ,OAKLAND           ,CA,73904     ,7,147,US,20240602,19971005,1A        ,5,1 ,V ,50053125, ,20080713,20280826
201YF,1491                          ,1860243,30010,1981,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,184,US,19891008,19840501,1U        ,4,1 ,V ,50005723, ,19951122,20281107
20299,47653                         ,1530597,52001,1986,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,147,US,19920423,19870621,1T        ,5,5 ,V ,50072256, ,19920606,20270630
202NJ,3881                          ,1860187,17027,1965,WRIGHT MARY K                                     ,8761 AIRPORT RD                  ,ALBANY            ,NY,45954     ,1,059,US,19921115,19680717,1N        ,4,1 ,V ,50074713, ,19881029,20311205
202PJ,28-2004654                    ,2630594,30062,1979,MILLER JOHN K                                     ,7853 TAXIWAY DR                  ,MADISON           ,WI,54657     ,3,121,US,19811018,19801215,1U        ,5,1 ,V ,50052715, ,20151213,20311031
202RG,K2643-88                      ,2190842,52040,1992,TEXTRON AVIATION INC                              ,5754 MAIN ST                     ,WICHITA           ,KS,82340     ,C,034,US,20110505,19950409,1T        ,5,5 ,V ,50023625, ,20170413,20310206
202TQ,28-1972533                    ,2630594,30062,1974,JOHNSON MICHAEL H                                 ,9434 LAKEVIEW DR                 ,SAN JOSE          ,CA,12719     ,7,173,US,19910122,19760517,1N        ,5,1 ,V ,50100620, ,19830912,20310103
202XM,17223455                      ,1750933,30062,1981,PINNACLE ENERGY PARTNERS LLC                      ,9003 AVIATION WAY                ,HOUSTON           ,TX,69682     ,2,189,US,19980329,19831127,1U        ,4,1 ,V ,50103737, ,20060208,20300124
203EX,17268385                      ,1750198,17003,1970,HARRIS NANCY L                                    ,7459 MAIN ST                     ,DALLAS-FORT WORTH ,TX,54236     ,2,088,US,19980212,19700630,1N        ,4,1 ,V ,50113152, ,20090310,20260914
203PR,D1488-77                      ,2410192,17003,2008,MILLER MARY L                                     ,8127 COUNTY ROAD 12              ,LINCOLN           ,NE,96846     ,C,013,US,20200930,20110222,1N        ,4,1 ,V ,50015157, ,20200104,20270922
20443,F4123-71                      ,2190084,41060,1965,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,152,US,19940815,19661109,1T        ,5,5 ,V ,50026765, ,19810723,20270212
2046Q,D507-97                       ,2300426,00410,1997,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,081,US,20090326,19980917,1N        ,5,5 ,V ,50121431, ,20240929,20280727
204KJ,2848                          ,1200811,67000,2003,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,066,US,20060218,20040502,1T        ,5,5 ,V ,50006133, ,20120830,20260203
204NF,17270978                      ,1750767,41538,1987,UNITED PARCEL SERVICE CO                          ,3222 PROSPECT AVE                ,LOUISVILLE        ,KY,88561     ,S,016,US,20170829,19890323,1T        ,4,2 ,V ,50110264, ,19980611,20280430
2072C,17275237                      ,1751181,17041,2010,JONES KENNETH K                                   ,4461 MAIN ST                     ,EL PASO           ,TX,51904     ,2,167,US,20170809,20120604,1N        ,5,1 ,V ,50113530, ,20180225,20281123
2072R,A6776-91                      ,1310748,17027,1983,TORRES DANIEL H                                   ,3605 COUNTY ROAD 12              ,NEW ORLEANS       ,LA,67125     ,2,109,US,20231207,19851221,1N        ,4,1 ,V ,50012732, ,20110618,20260318
20740,B1118-64                      ,1420372,60515,1975,TEXTRON AVIATION INC                              ,5754 MAIN ST                     ,WICHITA           ,KS,82340     ,C,025,US,20200802,19760901,1N        ,6,3 ,V ,50012522, ,20000428,20310505
207QL,28-1981689                    ,2630203,17027,1986,WALKER DONALD M                                   ,9078 RIDGE RD                    ,MADISON           ,WI,55056     ,3,117,US,20051002,19881009,1N        ,4,1 ,V ,50071175, ,20210102,20290415
20802,28-1987355                    ,2630769,30010,2017,WHITE JAMES W                                     ,1884 LAKEVIEW DR                 ,SAN FRANCISCO     ,CA,38569     ,7,089,US,20250306,20180524,1N        ,4,1 ,V ,50054375, ,20180706,20260323
2083P,17270613                      ,1751024,17041,2003,PINNACLE ENERGY PARTNERS LLC                      ,9003 AVIATION WAY                ,HOUSTON           ,TX,69682     ,2,180,US,20220115,20031227,1U        ,5,1 ,V ,50055707, ,20110908,20290126
208CM,17240182                      ,1750310,17027,1994,HILL MARK H                                       ,7810 CESSNA BLVD                 ,SACRAMENTO        ,CA,74332     ,7,133,US,20171225,19941010,1N        ,4,1 ,V ,50041465, ,19990627,20291223
208GU,11815                         ,1200742,41060,2019,AMERICAN AIRLINES INC                             ,7836 HANGAR LN                   ,DALLAS-FORT WORTH ,TX,69871     ,2,197,US,20210704,20201228,1T        ,5,5 ,V ,50106122, ,20250426,20280601
208VK,28-1996421                    ,2630769,17003,1968,TORRES DANIEL H                                   ,3605 COUNTY ROAD 12              ,NEW ORLEANS       ,LA,67125     ,2,112,US,20020601,19690413,1N        ,4,1 ,V ,50113424, ,19700107,20291229
2092T,28-1974961                    ,2630203,17003,2016,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,088,US,20211009,20170825,1A        ,4,1 ,V ,50074125, ,20201203,20270427
209TB,17216899                      ,1751426,41545,1996,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,174,US,20141130,19980531,1N        ,5,5 ,V ,50116522, ,20021011,20290204
20BA ,17262391                      ,1750663,41538,2019,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,017,US,20220321,20220304,1N        ,5,2 ,V ,50117121, ,20240527,20301218
20BV ,17210027                      ,1750031,30010,1979,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,095,US,20090609,19820401,1U        ,4,1 ,V ,50026534, ,19950103,20271128
20GE ,4935                          ,1860187,17027,2014,GARCIA MARK M                                     ,5470 MAIN ST                     ,LINCOLN           ,NE,97835     ,C,025,US,20160825,20150701,1N        ,4,1 ,V ,50015556, ,20210804,20301225
20HD ,L1127-56                      ,2080125,30062,1974,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,133,US,20230718,19740713,1N        ,4,1 ,V ,50103550, ,19991011,20311001
20KV ,17263562                      ,1750310,30062,1988,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,035,US,20170510,19880217,1U        ,4,1 ,V ,50005407, ,20040518,20280214
20MZ ,28-2000557                    ,2630203,30010,1971,CAMPBELL RICHARD C                                ,1950 RIDGE RD                    ,NEWARK            ,NJ,64548     ,1,066,US,20171221,19730416,1N        ,4,1 ,V ,50034666, ,20180821,20290224
21093,L9943-83                      ,1420164,17050,1998,NORTHERN LIGHTS HELI SERVICES INC                 ,4012 LAKEVIEW DR                 ,ANCHORAGE         ,AK,60196     ,A,101,US,20150622,19990212,1N        ,6,1 ,V ,50034520, ,20191016,20281215
2109Z,65367                         ,1530618,52001,1973,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,174,US,20001217,19760109,1T        ,5,5 ,V ,50035622, ,20040419,20301019
210UW,B9531-22                      ,1970643,41538,1973,REDWOOD MEDFLIGHT LLC                             ,5539 SKYWAY CT                   ,DENVER            ,CO,23154     ,5,105,US,20220609,19750717,1T        ,5,2 ,V ,50023247, ,        ,20280904
211XV,17259664                      ,1750663,41514,1994,FEDERAL EXPRESS CORP                              ,9131 AIRPORT RD                  ,MEMPHIS           ,TN,60277     ,S,004,US,20030807,19940517,1T        ,5,2 ,V ,50007466, ,20070613,20310718
2123C,C2089-10                      ,2850520,41545,1984,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,004,US,19900324,19860629,1T        ,5,5 ,V ,50027006,Y,20070513,20260928
21265,10760                         ,2740182,60012,1991,NORTHERN LIGHTS HELI SERVICES INC                 ,4012 LAKEVIEW DR                 ,ANCHORAGE         ,AK,60196     ,A,099,US,19961125,19941229,1N        ,6,3 ,V ,50037323, ,20080104,20300430
212LH,B3984-62                      ,2520156,17003,1981,MILLER MARY L                                     ,8127 COUNTY ROAD 12              ,LINCOLN           ,NE,96846     ,C,052,US,19890121,19821210,1N        ,4,1 ,V ,50010275, ,20030508,20300319
212QU,D3141-35                      ,1310748,30062,1969,WILLIAMS LINDA K                                  ,4642 MERIDIAN PKWY               ,ST. LOUIS         ,MO,69510     ,C,154,US,20040306,19700417,1N        ,4,1 ,V ,50014306, ,19850312,20280119
21380,8580                          ,1200742,41060,1987,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,123,US,20150225,19870816,1T        ,5,5 ,V ,50025370, ,20020207,20270113
21452,28-1997503                    ,2631051,41514,1980,REDWOOD MEDFLIGHT LLC                             ,5539 SKYWAY CT                   ,DENVER            ,CO,23154     ,5,073,US,19990303,19820612,1T        ,5,2 ,V ,50010632, ,20200928,20310702
215KD,3328                          ,1860243,17003,1964,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,158,US,19920914,19650813,1N        ,4,1 ,V ,50065415,Y,19660216,20261211
215RZ,5068                          ,1860243,17027,1985,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,081,US,20050329,19880708,1N        ,4,1 ,V ,50065016, ,20180603,20310919
2161E,6464                          ,1860243,17003,1975,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,026,US,19810929,19760523,1U        ,4,1 ,V ,50025557, ,20081103,20310920
2167D,28-1969933                    ,2631051,41514,2007,FEDERAL EXPRESS CORP                              ,9131 AIRPORT RD                  ,MEMPHIS           ,TN,60277     ,S,193,US,20120509,20090131,1T        ,5,2 ,V ,50114150, ,20101025,20310915
216GJ,L1035-39                      ,1970762,41514,2008,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,199,US,20090128,20081001,1N        ,5,2 ,V ,50100263, ,20180114,20310712
21715,28-1998251                    ,2630345,17003,2021,HILL MICHAEL H                                    ,7570 MAPLE AVE                   ,BALTIMORE         ,MD,94896     ,1,047,US,20250507,20210121,1N        ,4,1 ,V ,50027636, ,20220809,20301217
217DF,H1189-33                      ,2190382,52001,2012,AMERICAN AIRLINES INC                             ,7836 HANGAR LN                   ,DALLAS-FORT WORTH ,TX,69871     ,2,004,US,20240504,20130304,1T        ,5,5 ,V ,50023773, ,20151107,20290902
21813,5635                          ,1200586,41060,1993,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,026,US,20070720,19940424,1T        ,5,5 ,V ,50000126, ,20060715,20300829
218PQ,G2124-80                      ,2190084,41060,1986,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,080,US,20100815,19870904,1T        ,5,5 ,V ,50004347, ,20190208,20310428
218XP,8686                          ,1860187,30010,1969,ADAMS LINDA F                                     ,8496 TAXIWAY DR                  ,SANTA ANA         ,CA,16582     ,7,178,US,19860928,19710326,1A        ,4,1 ,V ,50040236, ,19740127,20271225
2198L,A4837-29                      ,1310018,41538,1966,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,015,US,20150326,19691129,1T        ,5,2 ,V ,50054626, ,19861210,20290711
219CD,H8451-38                      ,2190587,52040,1965,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,057,US,19721005,19670125,1T        ,5,5 ,V ,50014643, ,19931031,20310519
21DN ,970                           ,1200489,67000,1990,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,118,US,20080706,19900520,1T        ,5,5 ,V ,50045540, ,        ,20261207
21PJ ,17255643                      ,1750767,41514,1983,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,176,US,20011110,19850704,1N        ,4,2 ,V ,50026073, ,20211105,20290107
21VK ,28-1965176                    ,2631051,41538,    ,ATLAS AIR INC                                     ,4477 SKYWAY CT                   ,NEW YORK          ,NY,10336     ,1,187,US,20060322,19891115,1N        ,5,2 ,V ,50104357, ,20111123,20300509
21VP ,11343                         ,1200010,41060,1974,UNITED AIR LINES INC                              ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,146,US,20241207,19770509,1T        ,5,5 ,V ,50060616, ,19860326,20270916
22009,28-1990228                    ,2630808,17041,2014,NELSON DANIEL B                                   ,8504 MAIN ST                     ,DALLAS            ,TX,91609     ,2,083,US,20230102,20170102,1A        ,5,1 ,V ,50107203, ,20170809,20260312
220TP,17257887                      ,1751181,30062,1966,WILLIAMS LINDA K                                  ,4642 MERIDIAN PKWY               ,ST. LOUIS         ,MO,69510     ,C,131,US,19820104,19690909,1A        ,5,1 ,V ,50115503, ,        ,20300612
2217X,J922-28                       ,1310519,30062,1966,MITCHELL NANCY H                                  ,100 PROSPECT AVE                 ,CHARLOTTE         ,NC,23970     ,S,155,US,19710907,19660822,1U        ,5,1 ,V ,50101217, ,19910929,20290316
2220A,28-1967710                    ,2630655,17041,2014,DAVIS MARY K                                      ,9491 OAK ST                      ,BURBANK           ,CA,50888     ,7,175,US,20211225,20160506,1N        ,5,1 ,V ,50102741, ,20190404,20301217
222QA,A5696-35                      ,2300605,00410,2006,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,157,US,20220223,20090315,1N        ,5,5 ,V ,50057115, ,20101113,20261102
2234F,L8195-69                      ,1640222,52040,2013,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,011,US,20160528,20150730,1T        ,5,5 ,V ,50000546, ,20220317,20310113
224GG,17235828                      ,1751426,41545,2002,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,146,US,20060813,20040102,1N        ,5,5 ,V ,50065353, ,20110518,20300525
224XT,C2379-83                      ,2190842,52040,1977,HIGH PLAINS CROP DUSTING INC                      ,815 MAIN ST                      ,BILLINGS          ,MT,71993     ,5,034,US,20020419,19780202,1T        ,5,5 ,V ,50064207, ,        ,20280922
22567,17218583                      ,1751373,00410,1995,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,139,US,20250430,19960112,1N        ,5,5 ,V ,50112470, ,19960212,20290712
225JQ,3030                          ,1860187,30062,1977,EDWARDS CAROL D                                   ,3467 COUNTY ROAD 12              ,DENVER            ,CO,96563     ,5,020,US,20220505,19770822,1N        ,4,1 ,V ,50001334, ,20070106,20270201
225QC,L3575-92                      ,1310425,41514,2022,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,027,US,20230314,20220516,1N        ,5,2 ,V ,50000232, ,20230714,20260329
225RZ,17270689                      ,1750434,30010,2008,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,078,US,20220418,20090328,1U        ,4,1 ,V ,50031505, ,20200529,20280615
2265X,D5760-65                      ,2190108,52001,1972,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,051,US,19950715,19750315,1T        ,5,5 ,V ,50121766, ,19920516,20270324
2268B,G9051-13                      ,2190453,67000,1968,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,183,US,19970715,19710531,1T        ,5,5 ,V ,50041172, ,19741210,20310120
22700,28-1997906                    ,2630655,30062,1973,HILL ROBERT G                                     ,6391 PROSPECT AVE                ,KANSAS CITY       ,MO,86556     ,C,116,US,20071216,19760310,1N        ,5,1 ,V ,50066372, ,20170625,20271112
2273J,17270547                      ,1750529,17003,2005,LEWIS PAUL D                                      ,4992 MERIDIAN PKWY               ,MILWAUKEE         ,WI,62757     ,3,126,US,20160331,20060728,1N        ,4,1 ,V ,50034204, ,20220730,20260412
22759,2817                          ,1860047,17003,2018,HIGH PLAINS CROP DUSTING INC                      ,815 MAIN ST                      ,BILLINGS          ,MT,71993     ,5,160,US,20231118,20200903,1A        ,4,1 ,V ,50046116, ,20220809,20301227
22768,M4286-32                      ,2080083,17027,2007,GARCIA MARY H                                     ,9053 MAPLE AVE                   ,CINCINNATI        ,KY,30517     ,S,012,US,20110326,20100410,1A        ,4,1 ,V ,50075271, ,20171125,20300729
227CD,17247611                      ,1750865,30010,2005,JONES GEORGE L                                    ,6892 SKYWAY CT                   ,ALBANY            ,NY,74251     ,1,045,US,20120903,20060520,1N        ,4,1 ,V ,50105145, ,20110708,20300413
227DJ,28-1999974                    ,2630203,17003,1998,TORRES DANIEL H                                   ,                                 ,NEW ORLEANS       ,LA,67125     ,2,170,US,20191211,20010918,1N        ,4,1 ,V ,50050700, ,20050302,20291007
227SK,3978                          ,1860047,30010,2010,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,189,US,20141105,20131104,1N        ,4,1 ,V ,50014705, ,20201110,20271204
227VE,11935                         ,2740262,60012,2018,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,156,US,20190611,20181001,1N        ,6,3 ,V ,50032566, ,        ,20280110
2288N,E5662-38                      ,1640971,52040,1994,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,138,US,20010613,19941118,1T        ,5,5 ,V ,50000525, ,20231031,20271120
228GQ,8799                          ,1200586,52001,1980,SKYWEST AIRLINES INC                              ,8427 MERIDIAN PKWY               ,SALT LAKE CITY    ,UT,27892     ,5,133,US,20230930,19800415,1T        ,5,5 ,V ,50073653, ,19891127,20270306
2292W,50514                         ,1530232,41060,2019,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,022,US,20250202,20190126,1T        ,5,5 ,V ,50037743, ,20200403,20290514
22972,G4585-39                      ,2520026,30062,1965,NGUYEN STEVEN B                                   ,1452 MAIN ST                     ,MIAMI             ,FL,43082     ,S,097,US,19940726,19661102,1A        ,4,1 ,V ,50102677, ,19870323,20281005
229PG,28-2010440                    ,2630956,30062,2000,EVANS LINDA F                                     ,9034 OAK ST                      ,HOUSTON           ,TX,82384     ,2,059,US,20190906,20030618,1A        ,5,1 ,V ,50056705, ,20140529,20260128
22NJ ,28-2017571                    ,2630808,17041,2017,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,113,US,20240526,20190502,1U        ,5,1 ,V ,50063043, ,20230809,20260317
22XB ,A6941-41                      ,2190084,67000,1986,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,040,US,20000219,19881216,1T        ,5,5 ,V ,50110012, ,20030218,20310228
230GP,56077                         ,1531128,52001,1985,ATLAS AIR INC                                     ,4477 SKYWAY CT                   ,NEW YORK          ,NY,10336     ,1,136,US,19991214,19870828,1T        ,5,5 ,V ,50015367, ,20100404,20291123
